date,time,hour,tempF,temp
6/20/2018,22:53:00,22,76,24.44444444
6/20/2018,23:53:00,23,76,24.44444444
6/21/2018,0:53:00,0,77,25
6/21/2018,1:53:00,1,77,25
6/21/2018,2:53:00,2,77,25
6/21/2018,3:37:00,3,78,25.55555556
6/21/2018,3:53:00,3,78,25.55555556
6/21/2018,4:04:00,4,78,25.55555556
6/21/2018,4:47:00,4,79,26.11111111
6/21/2018,4:53:00,4,78,25.55555556
6/21/2018,5:16:00,5,78,25.55555556
6/21/2018,5:28:00,5,78,25.55555556
6/21/2018,5:30:00,5,78,25.55555556
6/21/2018,5:51:00,5,79,26.11111111
6/21/2018,5:53:00,5,79,26.11111111
6/21/2018,6:53:00,6,79,26.11111111
6/21/2018,7:50:00,7,79,26.11111111
6/21/2018,7:53:00,7,78,25.55555556
6/21/2018,8:43:00,8,80,26.66666667
6/21/2018,8:53:00,8,80,26.66666667
6/21/2018,9:22:00,9,80,26.66666667
6/21/2018,9:53:00,9,80,26.66666667
6/21/2018,10:53:00,10,81,27.22222222
6/21/2018,11:53:00,11,81,27.22222222
6/21/2018,12:13:00,12,82,27.77777778
6/21/2018,12:20:00,12,82,27.77777778
6/21/2018,12:53:00,12,83,28.33333333
6/21/2018,13:53:00,13,83,28.33333333
6/21/2018,14:53:00,14,84,28.88888889
6/21/2018,15:53:00,15,85,29.44444444
6/21/2018,16:53:00,16,85,29.44444444
6/21/2018,17:53:00,17,85,29.44444444
6/21/2018,18:53:00,18,82,27.77777778
6/21/2018,19:53:00,19,80,26.66666667
6/21/2018,20:53:00,20,79,26.11111111
6/21/2018,21:53:00,21,78,25.55555556
6/21/2018,22:53:00,22,77,25
6/21/2018,23:53:00,23,76,24.44444444
6/22/2018,0:53:00,0,76,24.44444444
6/22/2018,1:53:00,1,76,24.44444444
6/22/2018,2:53:00,2,77,25
6/22/2018,3:53:00,3,77,25
6/22/2018,4:53:00,4,76,24.44444444
6/22/2018,5:16:00,5,76,24.44444444
6/22/2018,5:53:00,5,77,25
6/22/2018,6:53:00,6,78,25.55555556
6/22/2018,7:51:00,7,81,27.22222222
6/22/2018,7:53:00,7,81,27.22222222
6/22/2018,8:51:00,8,84,28.88888889
6/22/2018,8:53:00,8,84,28.88888889
6/22/2018,9:51:00,9,88,31.11111111
